ChartNumber,ImageFileName,Title,TitleType,ChartType,Condition,TheContext,Question1Text,Question1Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Question2Text,Question2Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Question3Text,Question3Image,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,
Chart 3,images/imageChart3DC.PNG,צורך במיומנויות של מועסקים אקדמאיים ושל מנהלים בכירים, descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של מועסקים בעלי השכלה אקדמית, איזו מיומנות דורגה עם הצורך הנמוך ביותר, שיש בה את הפער הגדול ביותר בין כלל המועסקים למנהלים בכירים? ",Questions/Chart3Q1.png,ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר עבור כלל המועסקים? ,Questions/Chart3Q2.png,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היה צבעי הגרף?,Questions/Chart3Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 3,images/imageChart3MC.PNG,יכולות מתמטיות היא המיומנות עם הפער הגדול ביותר בין כלל המועסקים והמנהלים הבכירים,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על הצורך במיומנויות של מועסקים בעלי השכלה אקדמית, איזו מיומנות דורגה עם הצורך הנמוך ביותר, שיש בה את הפער הגדול ביותר בין כלל המועסקים למנהלים בכירים?  ",Questions/Chart3Q1.png,ידע מקצועי,מיומנויות טכנולוגיות,מיומנויות למידה,יכולות מתמטיות,D,איזו מיומנות דורגה עם הצורך הגבוה ביותר עבור כלל המועסקים? ,Questions/Chart3Q2.png,מיומנויות למידה,יכולות מתמטיות,ידע מקצועי,מיומנויות טכנולוגיות,C,מה היה צבעי הגרף?,Questions/Chart3Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 4,images/imageChart4DS.PNG,שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים בשנת 2022, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר? ",Questions/Chart4Q1.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר? ,Questions/Chart4Q2.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבעי הגרף?,Questions/Chart4Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 4,images/imageChart4MS.PNG,שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הגבוהה ביותר בקרב חרדים,message,simple,MS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר? ",Questions/Chart4Q1.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר? ,Questions/Chart4Q2.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבעי הגרף?,Questions/Chart4Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 4,images/imageChart4DC.PNG,שביעות רצון מהאיזון בין העבודה לתחומי חיים אחרים בין השנים 2022 - 2016 , descriptive,complex,DC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר, וכן קיים אצלה פער קטן ביותר בין 2016 ל -2022? ",Questions/Chart4Q1.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר בשנת 2022? ,Questions/Chart4Q2.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבעי הגרף?,Questions/Chart4Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 4,images/imageChart4MC.PNG,השינוי הקטן ביותר משנת 2016 ל-2022 בשביעות רצון מהאיזון בין העבודה לתחומי חיים אחרים היא בקרב יהודים לחרדים,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים, עבור איזו קבוצה שביעות הרצון היא הגבוהה ביותר, וכן קיים אצלה פער קטן ביותר בין 2016 ל -2022? ",Questions/Chart4Q1.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,A,עבור איזו קבוצה שביעות הרצון מהאיזון בין העבודה לתחומי חיים אחרים היא הנמוכה ביותר בשנת 2022? ,Questions/Chart4Q2.png,יהודים חרדים,יהודים חילונים,יהודים דתיים,יהודים מסורתיים,C,מה היה צבעי הגרף?,Questions/Chart4Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 5,images/imageChart5DS.PNG,מספר הסטודנטים שלומדים לתואר ראשון באוניברסיטאות במקצועות נבחרים בשנת 2022, descriptive,simple,DS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע למדו הכי הרבה סטודנטים בשנת 2022?",Questions/Chart5Q1.png,משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,Questions/Chart5Q2.png,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבעי הגרף?,Questions/Chart5Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 5,images/imageChart5MS.PNG,מדעי המחשב הוא המקצוע שבו לומדים הכי הרבה סטודנטים לתואר ראשון בשנת 2022,message,simple,MS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע למדו הכי הרבה סטודנטים בשנת 2022?",Questions/Chart5Q1.png,משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,Questions/Chart5Q2.png,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבעי הגרף?,Questions/Chart5Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 5,images/imageChart5DC.PNG,מספר הסטודנטים שלומדים לתואר ראשון באוניברסיטאות במקצועות נבחרים בשנת  2022 ובשנת 2016, descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע הפער במספר הסטודנטים גדול ביותר בין 2016 ל 2022?",Questions/Chart5Q1.png,משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,Questions/Chart5Q2.png,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבעי הגרף?,Questions/Chart5Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 5,images/imageChart5MC.PNG,מדעי המחשב הוא המקצוע עם הגידול הרב ביותר במספר  הסטודנטים לתואר ראשון בין 2016 ו-2022,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,"מתוך נתונים שנאספו על מספר הסטודנטים הלומדים באוניברסיטאות בישראל לתואר ראשון, באיזה מקצוע הפער במספר הסטודנטים גדול ביותר בין 2016 ל 2022?",Questions/Chart5Q1.png,משפטים,פסיכולוגיה,מדעי המחשב,כלכלה,C,באיזה מקצוע למדו הכי פחות סטודנטים בשנת 2022 ? ,Questions/Chart5Q2.png,פסיכולוגיה,מדעי המדינה,משפטים,מדעי המחשב,B,מה היה צבעי הגרף?,Questions/Chart5Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 6,images/imageChart6MS.PNG,מספר עסקאות אקזיט של חברות הזנק לפי מחוז בשנת 2021, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט שלחברות הזנק, באיזה מחוז מספר העסקאות הוא הגבוה ביותר בשנת 2021? ",Questions/Chart6Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,Questions/Chart6Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart6Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 6,images/imageChart6DC.PNG,בחיפה היו הכי פחות עסקאות אקזיט בשנת 2021,message,simple,MS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט שלחברות הזנק, באיזה מחוז מספר העסקאות הוא הגבוה ביותר בשנת 2021? ",Questions/Chart6Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,Questions/Chart6Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart6Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 6,images/imageChart6MC.PNG,מספר עסקאות אקזיט של חברות הזנק לפי מחוז בשנת 2010 ו-2021, descriptive,complex,DC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט של חברות הזנק, באיזה מחוז הפער במספר עסקאות האקזיט בין שנת 2010 לשנת 2021 הוא הגבוה ביותר? ",Questions/Chart6Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,Questions/Chart6Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart6Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 6,images/imageChart6DS.PNG,בירושלים והדרום היה את השינוי הקטן ביותר במספר העסקאות בין שנת 2010 לשנת 2021,message,complex,MC,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,"מתוך נתונים שנאספו על מספר עסקאות אקזיט של חברות הזנק, באיזה מחוז הפער במספר עסקאות האקזיט בין שנת 2010 לשנת 2021 הוא הגבוה ביותר? ",Questions/Chart6Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז מספר העסקאות הוא הנמוך ביותר בשנת 2021? ,Questions/Chart6Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart6Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7MS.PNG,אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021, descriptive,simple,DS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחות Netflix ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7DC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר,message,simple,MS,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7MC.PNG,במחוז הדרום אחוז התושבים שאינם מצליחים לכסות את ההוצאות שלהם בשנת 2021 הוא הגבוה ביותר, descriptive,complex,DC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר בקרב צופים מבוגרים ובני נוער. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 7,images/imageChart7DS.PNG,במחוז הצפון הפער בין אחוז התושבים היהודים והערבים שלא מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר,message,complex,MC,השקף הבא מציג את נתוני הצפייה של סרטי נטפליקס לפי ז'אנר. הנתונים הושגו על ידי ניתוח נתוני שימוש של מיליוני לקוחותNetflix  ברחבי העולם (נתוני הצפיות הינם במיליונים).,באיזה מחוז הפער בין אחוז התושבים היהודים והערבים שאינם מצליחים לכסות את ההוצאות שלהם הוא הנמוך ביותר? ,Questions/Chart7Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזה מחוז אחוז התושבים שאינם מצליחים או מתקשים לכסות את ההוצאות הוא הגבוה ביותר,Questions/Chart7Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart7Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
Chart 8,images/imageChart8MS.PNG,היקף השימוש ברשתות חברתיות באוכלוסייה מעל גיל  60 בשנת 2024, descriptive,simple,DS,השקף הבא מציג את נתוני הגלישה באינטרנט לפי מטרת הגלישה. הנתונים נלקחו מהסקר החברתי של הלשכה המרכזית לסטטיסטיקה עבור מדגם של בני עשרים ומעלה. ,באיזה רשת חברתית היקף השימוש הוא הנמוך ביותר עבור בני 60+? ,Questions/Chart8Q1.png,מחוז מרכז,מחוז תל אביב,מחוז חיפה,מחוז הצפון,B,באיזו רשת  חברתית היקף השימוש לבני 60 ומעלה הוא הגבוה ביותר בשנת 2024? ,Questions/Chart8Q2.png,מחוז חיפה,מחוז תל אביב,מחוז מרכז,מחוז חיפה,A,מה היה צבעי הגרף?,Questions/Chart8Q3.png,פעולה,כחול ואפור,כתום וסגול,אדום ושחור,ירוק וצהוב,D
